Method,Recall@5,Precision@5,MRR,Faithfulness,Correctness,Latency (s)
Simple Vector (500),0.10784313725490195,0.10784313725490195,0.10294117647058823,0.0,0.0,1.0195190345539766
"Hybrid (size=1000, alpha=0.5)",0.6,0.6,0.4333333333333334,0.0,0.0,1.0332279079838802
Advanced (Hybrid 1000a.5 + Rerank),0.45789473684210524,0.45789473684210524,0.3991228070175438,0.0,0.0,1.829093431171618
